ax;ay;az;gx;gy;gz
0.25;-1.07;5.89;14.04;1.59;-0.92
-0.29;-0.2;0.04;-59.51;131.53;9.4
-0.34;0.07;1.1;-37.9;80.32;-1.53
0.48;0.39;3.06;-3.3;-57.62;1.1
-0.01;-0.12;-0.21;-43.4;-29.72;2.99
0.1;-0.41;1.21;54.75;-67.02;-3.17
-0.32;0.55;2.6;0.61;-84.47;-0.06
0.11;0.0;-0.27;-40.83;-59.2;-2.87
0.37;-0.11;0.97;101.32;35.58;-19.78
0.07;-0.13;1.34;-24.84;-79.65;-0.43
0.57;0.32;-6.99;12.02;-146.79;-1.95
0.1;-0.08;-0.09;-2.87;5.68;8.85
-0.31;0.05;4.71;61.95;-74.46;-5.49
0.17;0.02;0.92;-51.82;133.85;5.8
-0.13;0.29;3.05;15.2;-37.78;-1.1
-0.03;-0.07;-0.15;-50.17;57.37;3.48
0.04;-0.23;1.02;51.64;-161.38;-0.43
0.14;0.44;2.83;33.63;-93.81;-2.08
