timestamp,mean,max,std,label
03:33:24.095,0.6992,0.6992,0.0,0
03:33:24.096,0.6992,0.6992,0.0,0
03:33:24.097,0.6992,0.6992,0.0,0
03:33:24.320,0.6942,0.6942,0.0,0
03:33:24.446,0.6942,0.6942,0.0,0
03:33:24.538,0.6942,0.6942,0.0,0
03:33:24.602,0.6993,0.6993,0.0,0
03:33:24.652,0.6993,0.6993,0.0,0
03:33:24.733,0.6993,0.6993,0.0,0
03:33:24.813,0.6852,0.6852,0.0,0
03:33:24.940,0.6852,0.6852,0.0,0
03:33:25.032,0.6852,0.6852,0.0,0
03:33:25.101,0.6846,0.6846,0.0,0
03:33:25.170,0.6846,0.6846,0.0,0
03:33:25.272,0.6846,0.6846,0.0,0
03:33:25.348,0.6893,0.6893,0.0,0
03:33:25.421,0.6893,0.6893,0.0,0
03:33:25.490,0.6893,0.6893,0.0,0
03:33:25.571,0.6943,0.6943,0.0,0
03:33:25.639,0.6943,0.6943,0.0,0
03:33:25.709,0.6943,0.6943,0.0,0
03:33:25.862,0.6847,0.6847,0.0,0
03:33:25.862,0.6847,0.6847,0.0,0
03:33:25.949,0.6946,0.6946,0.0,0
03:33:25.949,0.6946,0.6946,0.0,0
03:33:26.034,0.6902,0.6902,0.0,0
03:33:26.110,0.6844,0.6844,0.0,0
03:33:26.168,0.6844,0.6844,0.0,0
03:33:26.248,0.6844,0.6844,0.0,0
03:33:26.328,0.6902,0.6902,0.0,0
03:33:26.396,0.6902,0.6902,0.0,0
03:33:26.526,0.6753,0.6753,0.0,0
03:33:26.901,0.6945,0.6945,0.0,0
03:33:26.976,0.7042,0.7042,0.0,0
03:33:26.976,0.6945,0.6945,0.0,0
03:33:27.042,0.7042,0.7042,0.0,0
03:33:27.122,0.7042,0.7042,0.0,0
03:33:27.342,0.6893,0.6893,0.0,0
03:33:27.361,0.6893,0.6893,0.0,0
03:33:27.361,0.6893,0.6893,0.0,0
03:33:27.441,0.6847,0.6847,0.0,0
03:33:27.499,0.6847,0.6847,0.0,0
03:33:27.499,0.6847,0.6847,0.0,0
03:33:27.601,0.6899,0.6899,0.0,0
03:33:27.648,0.6899,0.6899,0.0,0
03:33:27.648,0.6899,0.6899,0.0,0
03:33:27.916,0.6849,0.6849,0.0,0
03:33:27.916,0.6849,0.6849,0.0,0
03:33:28.000,0.7083,0.7083,0.0,0
03:33:28.000,0.7083,0.7083,0.0,0
03:33:28.256,0.6993,0.6993,0.0,0
03:33:28.394,0.6849,0.6849,0.0,0
03:33:28.394,0.6849,0.6849,0.0,0
03:33:28.569,0.7086,0.7086,0.0,0
03:33:28.569,0.7086,0.7086,0.0,0
03:33:28.875,0.7041,0.7041,0.0,0
03:33:28.875,0.7041,0.7041,0.0,0
03:33:29.037,0.7084,0.7084,0.0,0
03:33:29.249,0.7084,0.7084,0.0,0
03:33:29.369,0.6702,0.6702,0.0,0
