timestamp,mean,max,std,label
03:41:14.899,0.7231,0.7231,0.0,2
03:41:15.565,0.6851,0.6851,0.0,2
03:41:15.892,0.6458,0.6458,0.0,2
03:41:16.130,0.4885,0.4885,0.0,2
03:41:16.358,1.2611,1.2611,0.0,2
03:41:16.635,0.6763,0.6763,0.0,2
03:41:16.845,0.6315,0.6315,0.0,2
03:41:17.028,1.007,1.007,0.0,2
03:41:17.312,0.6756,0.6756,0.0,2
03:41:17.550,0.6526,0.6526,0.0,2
03:41:17.744,0.6835,0.6835,0.0,2
03:41:17.927,0.6015,0.6015,0.0,2
03:41:18.043,0.3531,0.3531,0.0,2
03:41:18.258,0.6922,0.6922,0.0,2
03:41:18.420,0.7941,0.7941,0.0,2
03:41:18.579,0.6507,0.6507,0.0,2
03:41:19.051,0.6871,0.6871,0.0,2
03:41:19.256,0.6202,0.6202,0.0,2
03:41:19.438,0.6711,0.6711,0.0,2
03:41:19.687,0.7039,0.7039,0.0,2
03:41:19.837,0.7159,0.7159,0.0,2
03:41:19.982,0.6838,0.6838,0.0,2
03:41:20.120,0.9134,0.9134,0.0,2
03:41:20.211,0.6604,0.6604,0.0,2
03:41:20.325,0.6708,0.6708,0.0,2
03:41:20.471,0.6648,0.6648,0.0,2
03:41:20.563,0.653,0.653,0.0,2
03:41:21.141,0.7114,0.7114,0.0,2
03:41:21.223,0.6484,0.6484,0.0,2
03:41:21.326,0.7086,0.7086,0.0,2
03:41:21.604,0.6839,0.6839,0.0,2
03:41:21.675,0.6744,0.6744,0.0,2
03:41:21.744,0.5173,0.5173,0.0,2
03:41:21.857,0.7425,0.7425,0.0,2
03:41:22.295,0.6915,0.6915,0.0,2
03:41:22.440,0.6888,0.6888,0.0,2
03:41:22.727,0.6889,0.6889,0.0,2
03:41:22.859,0.6767,0.6767,0.0,2
03:41:22.939,0.6557,0.6557,0.0,2
03:41:23.187,0.2968,0.2968,0.0,2
03:41:23.265,0.6641,0.6641,0.0,2
03:41:23.380,0.3675,0.3675,0.0,2
03:41:23.732,0.6815,0.6815,0.0,2
03:41:23.809,1.0495,1.0495,0.0,2
03:41:23.964,0.6703,0.6703,0.0,2
03:41:24.127,0.7752,0.7752,0.0,2
03:41:24.262,0.6769,0.6769,0.0,2
03:41:24.513,0.7077,0.7077,0.0,2
03:41:24.653,0.6709,0.6709,0.0,2
03:41:24.936,0.6548,0.6548,0.0,2
03:41:25.073,0.7221,0.7221,0.0,2
03:41:25.359,0.702,0.702,0.0,2
03:41:25.583,0.8969,0.8969,0.0,2
03:41:26.091,0.6668,0.6668,0.0,2
03:41:26.199,0.8449,0.8449,0.0,2
03:41:26.335,0.6892,0.6892,0.0,2
03:41:26.482,1.0166,1.0166,0.0,2
03:41:26.633,0.5608,0.5608,0.0,2
03:41:26.793,0.6713,0.6713,0.0,2
03:41:26.935,0.71,0.71,0.0,2
03:41:27.176,0.6407,0.6407,0.0,2
03:41:27.350,0.6157,0.6157,0.0,2
03:41:27.982,0.5944,0.5944,0.0,2
03:41:28.641,0.5583,0.5583,0.0,2
03:41:28.782,0.6768,0.6768,0.0,2
03:41:28.895,0.72,0.72,0.0,2
03:41:29.065,0.6442,0.6442,0.0,2
03:41:29.210,0.6676,0.6676,0.0,2
03:41:29.324,0.664,0.664,0.0,2
03:41:29.460,0.7787,0.7787,0.0,2
03:41:29.540,0.8451,0.8451,0.0,2
03:41:29.654,0.6948,0.6948,0.0,2
03:41:30.035,0.7304,0.7304,0.0,2
03:41:30.500,0.794,0.794,0.0,2
03:41:30.661,0.7293,0.7293,0.0,2
03:41:30.752,0.608,0.608,0.0,2
03:41:30.866,0.6493,0.6493,0.0,2
03:41:31.057,0.8494,0.8494,0.0,2
03:41:31.182,0.6698,0.6698,0.0,2
03:41:31.351,0.7906,0.7906,0.0,2
03:41:31.516,0.9706,0.9706,0.0,2
03:41:31.743,0.6669,0.6669,0.0,2
03:41:31.968,0.6289,0.6289,0.0,2
03:41:32.092,0.8105,0.8105,0.0,2
03:41:32.206,0.6593,0.6593,0.0,2
03:41:32.364,0.4758,0.4758,0.0,2
03:41:32.497,1.051,1.051,0.0,2
03:41:32.725,0.6966,0.6966,0.0,2
03:41:32.849,0.5814,0.5814,0.0,2
03:41:33.041,0.6434,0.6434,0.0,2
03:41:33.244,0.6904,0.6904,0.0,2
03:41:33.526,0.6568,0.6568,0.0,2
03:41:33.728,0.6611,0.6611,0.0,2
03:41:34.445,0.5981,0.5981,0.0,2
03:41:34.566,0.6645,0.6645,0.0,2
03:41:34.657,0.6067,0.6067,0.0,2
03:41:34.770,0.6846,0.6846,0.0,2
03:41:34.893,0.7489,0.7489,0.0,2
03:41:34.997,0.7726,0.7726,0.0,2
03:41:35.190,0.6718,0.6718,0.0,2
03:41:35.638,0.6234,0.6234,0.0,2
03:41:35.761,0.7111,0.7111,0.0,2
03:41:35.945,0.7486,0.7486,0.0,2
03:41:36.251,0.6126,0.6126,0.0,2
03:41:36.571,0.706,0.706,0.0,2
03:41:36.648,0.688,0.688,0.0,2
03:41:36.750,0.4258,0.4258,0.0,2
03:41:37.399,1.136,1.136,0.0,2
03:41:37.521,2.1914,2.1914,0.0,2
03:41:37.613,0.6503,0.6503,0.0,2
03:41:37.727,0.6662,0.6662,0.0,2
03:41:37.829,0.6673,0.6673,0.0,2
03:41:38.098,0.6901,0.6901,0.0,2
03:41:38.233,0.7282,0.7282,0.0,2
03:41:38.501,0.6535,0.6535,0.0,2
03:41:38.673,0.8054,0.8054,0.0,2
03:41:38.937,0.7849,0.7849,0.0,2
03:41:39.195,0.6735,0.6735,0.0,2
03:41:39.312,0.6741,0.6741,0.0,2
03:41:39.426,0.6584,0.6584,0.0,2
03:41:40.333,0.6385,0.6385,0.0,2
