ax;ay;az;gx;gy;gz
-0.04;0.04;1.08;13.0;44.07;1.34
0.03;-0.0;1.06;3.66;-19.9;0.12
-0.22;-0.19;1.14;-19.47;37.96;-5.62
0.19;0.06;1.11;14.59;22.83;0.18
-0.29;-0.22;0.87;-49.56;-0.73;-2.26
0.01;0.04;1.05;1.34;54.57;0.0
0.11;-0.11;0.81;-6.71;-72.63;-1.46
0.18;0.29;2.36;-15.5;-54.08;-0.24
0.18;-0.1;0.72;32.59;39.31;0.73
-0.09;-0.02;0.95;0.85;15.69;0.0
-0.56;-0.93;1.07;35.46;-35.58;-2.99
0.56;0.07;1.32;-53.04;-6.35;3.97
0.1;0.04;0.08;-15.44;41.75;-6.71
0.04;0.26;0.93;7.69;46.51;0.0
0.2;0.03;1.04;10.99;9.22;-0.18
0.49;0.15;1.27;-36.25;14.95;3.05
0.2;0.21;1.07;12.76;25.02;0.18
0.19;0.03;1.04;6.71;-9.64;0.12
-0.3;-0.1;0.55;11.78;43.03;1.04
0.02;-0.15;0.96;-21.48;28.75;-0.37
-0.14;-0.15;0.69;-13.55;1.59;0.12
0.04;0.05;0.42;-38.76;44.98;0.61
-0.01;-0.07;1.06;13.79;-5.55;-0.31
0.57;0.1;1.02;-12.76;-46.94;3.3
-0.17;0.02;0.49;4.82;78.31;-0.92
0.13;0.34;1.8;8.36;-72.33;-0.55
